INPUT:text1	INPUT:text2	OUTPUT:result	CONFIDENCE:result	
площадь треугольника	площадь треугольника равностороннего	yes	100.00%	
статистика выявленных фактов незаконного производства наркотических средств за последние 10 лет	судебная статистика статистика выявленных фактов незаконного производства наркотических средств за последние 10 лет	yes	100.00%	
Древний Египет	древний египет факты	yes	100.00%	
можно ли в коломенском парке заходить в церкви	можно ли в коломенском парке заходить в церкви	yes	100.00%	
запрещённое порно	как убрать жир на грудных мышцах у мужчин	no	100.00%	
окрошка на кефире калории	окрошка на кефире	yes	100.00%	
https://www.ufanet.ru/ m3u8	аппендицит	no	99.99%	
xvideo	как скрыть друга в вк	no	100.00%	
падеж существительных таблица	падеж прилагательных таблица с вопросами и окончаниями	yes	100.00%	
популярная желтая книга про продажи	популярная желтая книга по маркетингу	yes	100.00%	
еженощное пробуждение с	что такое метаболизм	no	100.00%	
история образования улицы Мира в Крестцы Новгородской области	история образования улицы Мира в Крестцы Новгородской области	yes	100.00%	
курящая кура	как перестать смущаться и краснеть	no	100.00%	
цитаты про любовь	цитаты про жизнь	yes	100.00%	
Яндекс	как избавиться от гнид	no	100.00%	
эмоции какие бывают	неоднозначные эмоции это как называется	yes	100.00%	
краска алкидно-акриловая (ас) 115 акриловая	краска алкидно-акриловая (ас) 115 акриловая характеристика	yes	100.00%	
Почему завязывают ниточку на запястье	Почему завязывают ниточку на запястье на левой руке	yes	100.00%	
самсунг галакси а8+ 2018 обзор	как осознать свою цель	no	100.00%	
солнечный берег чувашия новый год	жирная кожа лица что делать	no	99.99%	
найти иголку в одежде что значит	как изменить жизнь к лучшему	no	100.00%	
yup перевод	ноут не видит проектор	no	100.00%	
электронный дневник	как поставить палатку	no	100.00%	
ту ту точка ру сапсан тверь санкт питербург	как полюбить свою работу	no	100.00%	
купить в орле обувь мегатоп	купить в орле обувь марко	yes	100.00%	
локомотивная 104 ульяновск	где заработать денег	no	100.00%	
песни про голубой цвет	песни про синий цвет	yes	100.00%	
коляски для новорожденных из швейцарии	коляски для новорожденных из швейцарии	yes	100.00%	
поликлиника 50 красносельского района самозапись к врачу через интернет в спб	поликлиника 50 красносельского района спб расписание	yes	100.00%	
чем полезна брюссельская капуста	что подарить парню	no	99.99%	
брокколи рецепты приготовления	создать гугл аккаунт	no	100.00%	
свадьба с ограниченным бюджетом	блюдо из цветной капусты	no	100.00%	
погода спб на неделю	погода геленджик на неделю	yes	100.00%	
рулонные шторы 200х200	жалюзи 200х200	yes	100.00%	
ребёнок в шесть лет не учит стихи	как выбрать орхидею	no	100.00%	
советск ленина 45	как завязывать галстук	no	99.99%	
гдз сборник задач по физике 7-9 класс пёрышкин	гдз сборник задач по физике 7-9 класс пёрышкин	yes	100.00%	
маньячелло концовка	маньячелло концовка	yes	100.00%	
минелла мартинцова прогноз	аккаунт гугл	no	100.00%	
купить люверсы №1	люверсы самые маленькие купить	yes	100.00%	
как сесть на шпогат	секс во время месячных	no	100.00%	
судного дня star trek fleet command 27 уровня	Корабли судного дн star trek fleet command	yes	100.00%	
погода в иркутске	как выбрать обои	no	100.00%	
монах кто	монах кто это	yes	100.00%	
эротика	приготовление шашлыка	no	100.00%	
4 школа саранск	7 школа саранск	yes	100.00%	
как выгодно купить как выгодно купить новый автомобиль в салоне в кредит в городе ижевск	как удалить мозоли на ногах в домашних условиях	no	100.00%	
чешется левый глаз к чему это	что такое сон	no	100.00%	
орёл мебель шара кухни	орёл мебель шара	yes	100.00%	
встраиваемая микроволновая печь	как поймать мышей в домашних условиях	no	100.00%	
калькулятор онлайн	масса гидроксида калия	no	97.93%	
галсан имя что означает	базар имя что означает	yes	74.10%	
баксет беби саше инструкция цена	баксет беби или максилак беби	yes	99.98%	
процессы жизнедеятельности одноклеточных организмов 11 класс таблица	процессы жизнедеятельности одноклеточных организмов кратко и понятно самое важное	yes	99.99%	
фон сиреневый пушистый	Картинки для детского сада	no	99.05%	
Шкатулка песня	The Greatest песня	yes	94.39%	
кошелев крутые ключи работа в самаре вакансии	вакансии мега ашан самара московское шоссе	yes	64.28%	
рахмани рахим перевод	аль фатиха перевод	yes	99.89%	
это кот авокадо копыт	да блин бешенство кошка кусается	no	99.75%	
главная башня нижегородского кремля	русские женщины некрасов	no	97.93%	
аптека вита	аптека вита москва вакансии	yes	96.74%	
ария тебе дадут знак	ария небо тебя найдет	yes	99.96%	
подать на алименты гражданина другой страны	работа первоуральск пекарня 2 ночная	no	91.54%	
Dr.Web Desktop Security Suite или Kaspersky	черный лебедь колония	no	99.99%	
легенда алушта официальный сайт	олива-арт утес официальный сайт	yes	83.68%	
чехол для samsung a01 core в мтс	alloy gasket	no	91.54%	
детские мастерские в приморском районе спб	мастерские по дереву в спб	yes	99.99%	
шеф возвращение	шеф возвращение 17 серия смотреть онлайн	yes	99.95%	
Scorpions  Wind Of Change	Scorpions -- Always Somewhere [	yes	99.90%	
шапки вязаные женские	шапки которые идут всем	yes	99.99%	
fonbet battery	battery отказ в доступе	yes	99.99%	
black pink jennie	georgina rodriguez anal	yes	98.87%	
на рисунке отражено изменение предложения шоколада на соответствующем рынке линия предложения s переместилась в новое положение s	виды налогов и сборов в рф федеральные налоги	yes	99.99%	
vs bob 2.0 fnf	Шапки для канала АТА	no	96.05%	
время в хабаровске	тесты на категорию по неврологии с ответами для врачей	no	99.99%	
приколы другу	спам атака прикольнуться над другом	yes	99.99%	
дарина ларионова вк якутск	екатерина сорокина вк якутск	yes	99.83%	
как выделить объект в фотошопе	инструмент волшебная палочка в фотошопе	yes	91.02%	
детралекс 1000 инструкция по применению цена отзывы аналоги	проктогливенол мазь инструкция по применению цена отзывы аналоги	yes	91.02%	
